status	type	_groupID	kept	discarded	count_kept	count_discarded
OK	1-to-1	g00042	Sotub01g032410.1.1	PGSC0003DMG400000059	1	1
OK	1-to-1	g00043	PGSC0003DMG400000060	Sotub01g032420.1.1	1	1
OK	1-to-1	g00044	Sotub01g032460.1.1	PGSC0003DMG400000062	1	1
OK	1-to-1	g00045	Sotub01g032510.1.1	PGSC0003DMG400000063	1	1
OK	1-to-1	g00046	Sotub01g032540.1.1	PGSC0003DMG400000064	1	1
OK	1-to-1	g00047	Sotub01g032560.1.1	PGSC0003DMG400000065	1	1
OK	1-to-1	g00048	Sotub01g032580.1.1	PGSC0003DMG400000066	1	1
OK	1-to-1	g00049	Sotub01g032590.1.1	PGSC0003DMG400000067	1	1
OK	1-to-1	g00050	Sotub01g032600.1.1	PGSC0003DMG400000068	1	1
OK	1-to-1	g00051	Sotub01g032610.1.1	PGSC0003DMG400000069	1	1
OK	1-to-1	g00052	Sotub01g032620.1.1	PGSC0003DMG400000070	1	1
OK	1-to-1	g00053	Sotub01g032630.1.1	PGSC0003DMG400000071	1	1
OK	1-to-1	g00054	Sotub01g032640.1.1	PGSC0003DMG400000072	1	1
OK	1-to-1	g00055	Sotub01g032680.1.1	PGSC0003DMG400000073	1	1
OK	1-to-1	g00056	Sotub01g032690.1.1	PGSC0003DMG400000074	1	1
OK	1-to-1	g00057	Sotub01g032700.1.1	PGSC0003DMG400000075	1	1
OK	1-to-1	g00058	Sotub01g032720.1.1	PGSC0003DMG400000077	1	1
OK	many-to-1	g00059	Sotub01g032730.1.1|Sotub01g032740.1.1	PGSC0003DMG400000078	2	1
OK	1-to-1	g00060	Sotub01g032750.1.1	PGSC0003DMG400000079	1	1
OK	1-to-1	g00061	Sotub01g032760.1.1	PGSC0003DMG400000080	1	1
OK	1-to-1	g00062	Sotub01g032770.1.1	PGSC0003DMG400000081	1	1
OK	singleton	g00063	PGSC0003DMG400000082	-	1	0
OK	1-to-1	g00064	Sotub01g032840.1.1	PGSC0003DMG400000084	1	1
OK	1-to-1	g00065	Sotub01g032850.1.1	PGSC0003DMG400000085	1	1
OK	1-to-1	g00066	Sotub01g032860.1.1	PGSC0003DMG400000086	1	1
OK	1-to-1	g00067	Sotub01g032890.1.1	PGSC0003DMG400000087	1	1
OK	1-to-1	g00068	Sotub01g032910.1.1	PGSC0003DMG400000088	1	1
OK	1-to-1	g00069	Sotub01g032920.1.1	PGSC0003DMG400000089	1	1
OK	1-to-1	g00070	Sotub01g032940.1.1	PGSC0003DMG400000090	1	1
OK	1-to-1	g00071	Sotub01g032950.1.1	PGSC0003DMG400000091	1	1
OK	1-to-1	g00072	Sotub01g032960.1.1	PGSC0003DMG400000092	1	1
OK	1-to-1	g00073	Sotub01g033000.1.1	PGSC0003DMG400000093	1	1
OK	singleton	g00074	PGSC0003DMG400000096	-	1	0
OK	1-to-1	g00075	Sotub01g033120.1.1	PGSC0003DMG400000098	1	1
OK	1-to-1	g00076	Sotub01g033130.1.1	PGSC0003DMG400000099	1	1
OK	1-to-1	g00077	Sotub01g033160.1.1	PGSC0003DMG400000101	1	1
OK	1-to-1	g00078	Sotub01g033200.1.1	PGSC0003DMG400000103	1	1
OK	1-to-1	g00079	Sotub01g033230.1.1	PGSC0003DMG400000104	1	1
OK	1-to-1	g00080	Sotub01g033310.1.1	PGSC0003DMG400000106	1	1
OK	1-to-1	g00081	Sotub01g033320.1.1	PGSC0003DMG400000107	1	1
OK	1-to-1	g00082	PGSC0003DMG400000108	Sotub01g033340.1.1	1	1
OK	1-to-1	g00083	Sotub01g033370.1.1	PGSC0003DMG400000110	1	1
OK	1-to-1	g00084	Sotub01g033400.1.1	PGSC0003DMG400000112	1	1
OK	1-to-1	g00085	Sotub01g033420.1.1	PGSC0003DMG400000113	1	1
OK	1-to-1	g00086	Sotub01g033430.1.1	PGSC0003DMG400000114	1	1
OK	1-to-1	g00087	Sotub01g033440.1.1	PGSC0003DMG400000115	1	1
OK	singleton	g00088	PGSC0003DMG400000116	-	1	0
OK	1-to-1	g00089	Sotub01g033510.1.1	PGSC0003DMG400000118	1	1
OK	1-to-1	g00090	Sotub01g033520.1.1	PGSC0003DMG400000119	1	1
OK	1-to-1	g00091	PGSC0003DMG400000120	Sotub01g033560.1.1	1	1
OK	1-to-1	g00092	Sotub01g033580.1.1	PGSC0003DMG400000121	1	1
OK	1-to-1	g00093	PGSC0003DMG400000122	Sotub01g033610.1.1	1	1
OK	1-to-1	g00094	Sotub01g033630.1.1	PGSC0003DMG400000123	1	1
OK	1-to-1	g00095	Sotub01g033670.1.1	PGSC0003DMG400000124	1	1
OK	1-to-1	g00096	Sotub01g033690.1.1	PGSC0003DMG400000125	1	1
OK	1-to-1	g00097	Sotub01g033710.1.1	PGSC0003DMG400000126	1	1
OK	many-to-1	g00098	Sotub01g033740.1.1|Sotub01g033750.1.1	PGSC0003DMG400000127	2	1
OK	1-to-1	g00099	Sotub01g033770.1.1	PGSC0003DMG400000128	1	1
OK	1-to-1	g00100	Sotub01g033840.1.1	PGSC0003DMG400000129	1	1
OK	1-to-1	g00101	Sotub01g033860.1.1	PGSC0003DMG400000130	1	1
OK	1-to-1	g00102	Sotub01g031050.1.1	PGSC0003DMG400000131	1	1
OK	1-to-1	g00103	Sotub01g031090.1.1	PGSC0003DMG400000132	1	1
OK	1-to-1	g00104	PGSC0003DMG400000133	Sotub01g031120.1.1	1	1
OK	1-to-1	g00105	Sotub01g031130.1.1	PGSC0003DMG400000134	1	1
OK	1-to-1	g00106	Sotub01g031140.1.1	PGSC0003DMG400000135	1	1
OK	1-to-1	g00107	Sotub01g031190.1.1	PGSC0003DMG400000136	1	1
OK	1-to-1	g00108	Sotub01g031240.1.1	PGSC0003DMG400000138	1	1
OK	1-to-1	g00109	Sotub01g031250.1.1	PGSC0003DMG400000139	1	1
OK	1-to-1	g00110	Sotub01g031260.1.1	PGSC0003DMG400000140	1	1
OK	1-to-1	g00111	Sotub01g031280.1.1	PGSC0003DMG400000142	1	1
OK	1-to-1	g00112	Sotub01g031330.1.1	PGSC0003DMG400000144	1	1
OK	many-to-many	g00113	Sotub01g031350.1.1|Sotub01g031430.1.1	PGSC0003DMG400000145|PGSC0003DMG400000147	2	2
OK	1-to-1	g00114	Sotub01g031420.1.1	PGSC0003DMG400000146	1	1
OK	1-to-1	g00115	Sotub01g031490.1.1	PGSC0003DMG400000148	1	1
OK	1-to-1	g00116	Sotub01g031500.1.1	PGSC0003DMG400000149	1	1
OK	singleton	g00117	PGSC0003DMG400000150	-	1	0
OK	1-to-1	g00118	Sotub01g031530.1.1	PGSC0003DMG400000151	1	1
OK	1-to-1	g00119	Sotub01g031640.1.1	PGSC0003DMG400000152	1	1
OK	1-to-1	g00120	PGSC0003DMG400000153	Sotub01g031650.1.1	1	1
OK	1-to-1	g00121	Sotub01g031670.1.1	PGSC0003DMG400000154	1	1
OK	1-to-1	g00122	Sotub01g031680.1.1	PGSC0003DMG400000155	1	1
OK	1-to-1	g00123	Sotub01g031690.1.1	PGSC0003DMG400000156	1	1
OK	1-to-1	g00124	Sotub01g031730.1.1	PGSC0003DMG400000157	1	1
OK	1-to-1	g00125	Sotub01g031760.1.1	PGSC0003DMG400000158	1	1
OK	1-to-1	g00126	Sotub01g031820.1.1	PGSC0003DMG400000159	1	1
OK	1-to-1	g00127	PGSC0003DMG400000259	PGSC0003DMG400000160	1	1
OK	1-to-1	g00128	Sotub01g031830.1.1	PGSC0003DMG400000161	1	1
OK	1-to-1	g00129	Sotub01g031840.1.1	PGSC0003DMG400000162	1	1
OK	1-to-1	g00130	Sotub01g031870.1.1	PGSC0003DMG400000164	1	1
OK	1-to-1	g00131	Sotub01g031880.1.1	PGSC0003DMG400000165	1	1
OK	1-to-1	g00132	Sotub01g031890.1.1	PGSC0003DMG400000166	1	1
OK	1-to-1	g00133	Sotub01g031900.1.1	PGSC0003DMG400000167	1	1
OK	1-to-1	g00134	PGSC0003DMG400000168	Sotub01g031920.1.1	1	1
OK	1-to-1	g00135	Sotub01g031940.1.1	PGSC0003DMG400000169	1	1
OK	many-to-1	g00136	Sotub01g031950.1.1|Sotub01g031960.1.1	PGSC0003DMG400000170	2	1
OK	1-to-1	g00137	PGSC0003DMG400000171	Sotub01g032000.1.1	1	1
OK	1-to-1	g00138	Sotub01g032040.1.1	PGSC0003DMG400000172	1	1
OK	1-to-1	g00139	Sotub01g032050.1.1	PGSC0003DMG400000173	1	1
OK	1-to-1	g00140	Sotub01g032120.1.1	PGSC0003DMG400000174	1	1
OK	1-to-1	g00141	Sotub01g032130.1.1	PGSC0003DMG400000175	1	1
OK	1-to-1	g00142	Sotub01g032140.1.1	PGSC0003DMG400000176	1	1
OK	1-to-1	g00143	Sotub01g032200.1.1	PGSC0003DMG400000177	1	1
OK	1-to-1	g00144	Sotub01g032210.1.1	PGSC0003DMG400000178	1	1
OK	1-to-1	g00145	PGSC0003DMG400000179	Sotub01g032220.1.1	1	1
OK	1-to-1	g00146	PGSC0003DMG400000180	Sotub01g032230.1.1	1	1
OK	1-to-1	g00147	Sotub01g032250.1.1	PGSC0003DMG400000181	1	1
OK	1-to-1	g00148	Sotub01g032320.1.1	PGSC0003DMG400000184	1	1
OK	1-to-1	g00149	Sotub01g032330.1.1	PGSC0003DMG400000185	1	1
OK	1-to-1	g00150	Sotub01g032380.1.1	PGSC0003DMG400000186	1	1
OK	1-to-1	g00151	Sotub01g032430.1.1	PGSC0003DMG400000187	1	1
OK	1-to-1	g00152	Sotub01g032440.1.1	PGSC0003DMG400000188	1	1
OK	1-to-1	g00153	Sotub01g032470.1.1	PGSC0003DMG400000189	1	1
OK	1-to-1	g00154	Sotub01g032480.1.1	PGSC0003DMG400000190	1	1
OK	1-to-1	g00155	Sotub01g032490.1.1	PGSC0003DMG400000191	1	1
OK	1-to-1	g00156	Sotub01g032500.1.1	PGSC0003DMG400000192	1	1
OK	1-to-1	g00157	Sotub01g032520.1.1	PGSC0003DMG400000193	1	1
OK	1-to-1	g00158	Sotub01g032530.1.1	PGSC0003DMG400000194	1	1
OK	1-to-1	g00159	Sotub01g032550.1.1	PGSC0003DMG400000195	1	1
OK	1-to-1	g00160	Sotub01g032570.1.1	PGSC0003DMG400000196	1	1
OK	1-to-1	g00161	PGSC0003DMG400000197	Sotub01g032650.1.1	1	1
OK	singleton	g00162	PGSC0003DMG400000199	-	1	0
OK	1-to-1	g00163	Sotub01g032790.1.1	PGSC0003DMG400000200	1	1
OK	singleton	g00164	PGSC0003DMG400000202	-	1	0
OK	1-to-1	g00165	Sotub01g032870.1.1	PGSC0003DMG400000203	1	1
OK	1-to-1	g00166	Sotub01g032880.1.1	PGSC0003DMG400000204	1	1
OK	1-to-1	g00167	Sotub01g032900.1.1	PGSC0003DMG400000205	1	1
OK	1-to-1	g00168	Sotub01g032930.1.1	PGSC0003DMG400000206	1	1
OK	1-to-1	g00169	Sotub01g032970.1.1	PGSC0003DMG400000207	1	1
OK	1-to-1	g00170	Sotub01g032980.1.1	PGSC0003DMG400000208	1	1
OK	1-to-1	g00171	Sotub01g032990.1.1	PGSC0003DMG400000209	1	1
OK	1-to-1	g00172	Sotub01g033020.1.1	PGSC0003DMG400000210	1	1
OK	1-to-1	g00173	Sotub01g033080.1.1	PGSC0003DMG400000211	1	1
OK	1-to-1	g00174	PGSC0003DMG400000212	Sotub01g033090.1.1	1	1
OK	1-to-1	g00175	PGSC0003DMG400000213	Sotub01g033100.1.1	1	1
OK	1-to-1	g00176	Sotub01g033110.1.1	PGSC0003DMG400000214	1	1
OK	1-to-1	g00177	Sotub01g033140.1.1	PGSC0003DMG400000215	1	1
OK	1-to-1	g00178	PGSC0003DMG400000217	Sotub01g033210.1.1	1	1
OK	1-to-1	g00179	Sotub01g033220.1.1	PGSC0003DMG400000218	1	1
OK	many-to-1	g00180	Sotub01g033250.1.1|Sotub01g033260.1.1	PGSC0003DMG400000219	2	1
OK	1-to-1	g00181	Sotub01g033290.1.1	PGSC0003DMG400000221	1	1
OK	1-to-1	g00182	Sotub01g033300.1.1	PGSC0003DMG400000222	1	1
OK	1-to-1	g00183	Sotub01g033360.1.1	PGSC0003DMG400000225	1	1
FIXED	many-to-1	g00184.1	PGSC0003DMG401000111|PGSC0003DMG402000111	Sotub01g033380.1.1	2	1
FIXED	1-to-1	g00184.2	Sotub01g033390.1.1	PGSC0003DMG400000226	1	1
OK	1-to-1	g00185	Sotub01g033410.1.1	PGSC0003DMG400000227	1	1
OK	1-to-1	g00186	Sotub01g033450.1.1	PGSC0003DMG400000228	1	1
OK	1-to-1	g00187	Sotub01g033460.1.1	PGSC0003DMG400000229	1	1
OK	1-to-1	g00188	Sotub01g033470.1.1	PGSC0003DMG400000230	1	1
OK	1-to-1	g00189	Sotub01g033480.1.1	PGSC0003DMG400000231	1	1
OK	1-to-1	g00190	Sotub01g033490.1.1	PGSC0003DMG400000232	1	1
OK	1-to-1	g00191	Sotub01g033530.1.1	PGSC0003DMG400000233	1	1
OK	1-to-1	g00192	Sotub01g033540.1.1	PGSC0003DMG400000234	1	1
OK	1-to-1	g00193	PGSC0003DMG400000235	Sotub01g033550.1.1	1	1
OK	1-to-1	g00194	Sotub01g033570.1.1	PGSC0003DMG400000236	1	1
OK	1-to-1	g00195	Sotub01g033590.1.1	PGSC0003DMG400000237	1	1
OK	1-to-1	g00196	Sotub01g033600.1.1	PGSC0003DMG400000238	1	1
OK	1-to-1	g00197	Sotub01g033620.1.1	PGSC0003DMG400000239	1	1
OK	many-to-1	g00198	PGSC0003DMG400000240|PGSC0003DMG400000241	Sotub01g033640.1.1	2	1
OK	1-to-1	g00199	Sotub01g033660.1.1	PGSC0003DMG400000242	1	1
OK	1-to-1	g00200	Sotub01g033680.1.1	PGSC0003DMG400000243	1	1
OK	1-to-1	g00201	Sotub01g033760.1.1	PGSC0003DMG400000244	1	1
OK	1-to-1	g00202	Sotub01g033780.1.1	PGSC0003DMG400000245	1	1
OK	many-to-1	g00203	Sotub01g033790.1.1|Sotub01g033800.1.1	PGSC0003DMG400000246	2	1
OK	1-to-1	g00204	Sotub01g033810.1.1	PGSC0003DMG400000247	1	1
OK	1-to-1	g00205	Sotub01g033820.1.1	PGSC0003DMG400000248	1	1
OK	1-to-1	g00206	PGSC0003DMG400000252	Sotub01g031060.1.1	1	1
OK	singleton	g00207	PGSC0003DMG400000254	-	1	0
OK	singleton	g00208	PGSC0003DMG400000255	-	1	0
OK	singleton	g00209	PGSC0003DMG400000256	-	1	0
OK	singleton	g00210	PGSC0003DMG400000257	-	1	0
OK	1-to-1	g00211	PGSC0003DMG400000261	Sotub01g032160.1.1	1	1
OK	singleton	g00212	PGSC0003DMG400000263	-	1	0
OK	singleton	g00213	PGSC0003DMG400000264	-	1	0
OK	singleton	g00214	PGSC0003DMG400000265	-	1	0
OK	1-to-1	g00215	Sotub12g010350.1.1	PGSC0003DMG400000270	1	1
OK	1-to-1	g00216	Sotub12g010250.1.1	PGSC0003DMG400000271	1	1
OK	1-to-1	g00217	Sotub12g010230.1.1	PGSC0003DMG400000272	1	1
OK	1-to-1	g00218	Sotub12g010200.1.1	PGSC0003DMG400000273	1	1
OK	1-to-1	g00219	Sotub12g010150.1.1	PGSC0003DMG400000274	1	1
OK	1-to-1	g00220	Sotub12g010130.1.1	PGSC0003DMG400000275	1	1
OK	1-to-1	g00221	Sotub12g010120.1.1	PGSC0003DMG400000276	1	1
OK	1-to-1	g00222	PGSC0003DMG400000277	Sotub12g010080.1.1	1	1
OK	many-to-1	g00223	Sotub12g010050.1.1|Sotub12g010060.1.1	PGSC0003DMG400000278	2	1
OK	1-to-1	g00224	Sotub12g010040.1.1	PGSC0003DMG400000279	1	1
OK	1-to-1	g00225	Sotub12g010010.1.1	PGSC0003DMG400000280	1	1
OK	1-to-1	g00226	Sotub12g010000.1.1	PGSC0003DMG400000281	1	1
OK	1-to-1	g00227	Sotub12g009970.1.1	PGSC0003DMG400000282	1	1
OK	1-to-1	g00228	Sotub12g009910.1.1	PGSC0003DMG400000284	1	1
OK	1-to-1	g00229	Sotub12g009900.1.1	PGSC0003DMG400000285	1	1
OK	1-to-1	g00230	PGSC0003DMG400000286	Sotub12g009870.1.1	1	1
OK	1-to-1	g00231	Sotub12g009810.1.1	PGSC0003DMG400000288	1	1
OK	1-to-1	g00232	Sotub12g009800.1.1	PGSC0003DMG400000289	1	1
OK	singleton	g00233	PGSC0003DMG400000290	-	1	0
OK	1-to-1	g00234	Sotub12g009750.1.1	PGSC0003DMG400000291	1	1
OK	1-to-1	g00235	Sotub12g009720.1.1	PGSC0003DMG400000292	1	1
OK	1-to-1	g00236	PGSC0003DMG400000293	Sotub12g009690.1.1	1	1
OK	singleton	g00237	PGSC0003DMG400000294	-	1	0
OK	1-to-1	g00238	Sotub12g009670.1.1	PGSC0003DMG400000295	1	1
OK	1-to-1	g00239	Sotub12g009650.1.1	PGSC0003DMG400000296	1	1
OK	1-to-1	g00240	Sotub12g009620.1.1	PGSC0003DMG400000297	1	1
OK	1-to-1	g00241	Sotub12g009610.1.1	PGSC0003DMG400000298	1	1
OK	1-to-1	g00242	Sotub12g009440.1.1	PGSC0003DMG400000301	1	1
OK	1-to-1	g00243	Sotub12g009430.1.1	PGSC0003DMG400000302	1	1
OK	1-to-1	g00244	Sotub12g009300.1.1	PGSC0003DMG400000303	1	1
OK	1-to-1	g00245	Sotub12g009290.1.1	PGSC0003DMG400000304	1	1
OK	1-to-1	g00246	Sotub12g009280.1.1	PGSC0003DMG400000305	1	1
OK	1-to-1	g00247	Sotub12g009250.1.1	PGSC0003DMG400000307	1	1
OK	1-to-1	g00248	Sotub12g009230.1.1	PGSC0003DMG400000308	1	1
OK	1-to-1	g00249	Sotub12g009220.1.1	PGSC0003DMG400000309	1	1
OK	singleton	g00250	PGSC0003DMG400000310	-	1	0
OK	1-to-1	g00251	Sotub12g009190.1.1	PGSC0003DMG400000311	1	1
OK	1-to-1	g00252	Sotub12g009180.1.1	PGSC0003DMG400000312	1	1
OK	1-to-1	g00253	Sotub12g009170.1.1	PGSC0003DMG400000313	1	1
OK	singleton	g00254	PGSC0003DMG400000314	-	1	0
OK	1-to-1	g00255	Sotub12g009150.1.1	PGSC0003DMG400000315	1	1
OK	singleton	g00256	PGSC0003DMG400000317	-	1	0
OK	singleton	g00257	PGSC0003DMG400000318	-	1	0
OK	singleton	g00258	PGSC0003DMG400000319	-	1	0
OK	1-to-1	g00259	Sotub12g009130.1.1	PGSC0003DMG400000320	1	1
OK	1-to-1	g00260	Sotub12g009120.1.1	PGSC0003DMG400000321	1	1
OK	1-to-1	g00261	PGSC0003DMG400000322	Sotub12g009030.1.1	1	1
OK	1-to-1	g00262	Sotub12g010300.1.1	PGSC0003DMG400000323	1	1
OK	1-to-1	g00263	Sotub12g010290.1.1	PGSC0003DMG400000324	1	1
OK	1-to-1	g00264	Sotub12g010280.1.1	PGSC0003DMG400000325	1	1
OK	1-to-1	g00265	Sotub12g010270.1.1	PGSC0003DMG400000326	1	1
OK	singleton	g00266	PGSC0003DMG400000327	-	1	0
OK	1-to-1	g00267	Sotub12g010240.1.1	PGSC0003DMG400000328	1	1
OK	1-to-1	g00268	Sotub12g010220.1.1	PGSC0003DMG400000329	1	1
OK	1-to-1	g00269	Sotub12g010210.1.1	PGSC0003DMG400000330	1	1
OK	1-to-1	g00270	Sotub12g010190.1.1	PGSC0003DMG400000331	1	1
OK	1-to-1	g00271	PGSC0003DMG400000332	Sotub12g010180.1.1	1	1
OK	1-to-1	g00272	Sotub12g010160.1.1	PGSC0003DMG400000333	1	1
OK	1-to-1	g00273	Sotub12g010140.1.1	PGSC0003DMG400000334	1	1
OK	many-to-1	g00274	Sotub12g010100.1.1|Sotub12g010110.1.1	PGSC0003DMG400000335	2	1
OK	1-to-1	g00275	Sotub12g010090.1.1	PGSC0003DMG400000336	1	1
OK	1-to-1	g00276	Sotub12g010070.1.1	PGSC0003DMG400000337	1	1
OK	1-to-1	g00277	Sotub12g010030.1.1	PGSC0003DMG400000338	1	1
OK	1-to-1	g00278	Sotub12g010020.1.1	PGSC0003DMG400000339	1	1
OK	1-to-1	g00279	Sotub12g009990.1.1	PGSC0003DMG400000340	1	1
OK	1-to-1	g00280	Sotub12g009980.1.1	PGSC0003DMG400000341	1	1
OK	1-to-1	g00281	Sotub12g009960.1.1	PGSC0003DMG400000342	1	1
OK	1-to-1	g00282	Sotub12g009950.1.1	PGSC0003DMG400000343	1	1
OK	1-to-1	g00283	Sotub12g009920.1.1	PGSC0003DMG400000344	1	1
OK	1-to-1	g00284	Sotub12g009890.1.1	PGSC0003DMG400000345	1	1
OK	1-to-1	g00285	Sotub12g009860.1.1	PGSC0003DMG400000347	1	1
OK	1-to-1	g00286	Sotub12g009850.1.1	PGSC0003DMG400000348	1	1
OK	1-to-1	g00287	Sotub12g009840.1.1	PGSC0003DMG400000349	1	1
OK	1-to-1	g00288	PGSC0003DMG400000350	Sotub12g009830.1.1	1	1
OK	1-to-1	g00289	Sotub12g009790.1.1	PGSC0003DMG400000351	1	1
OK	1-to-1	g00290	Sotub12g009780.1.1	PGSC0003DMG400000352	1	1
OK	1-to-1	g00291	Sotub12g009770.1.1	PGSC0003DMG400000353	1	1
OK	1-to-1	g00292	Sotub12g009740.1.1	PGSC0003DMG400000354	1	1
OK	1-to-1	g00293	PGSC0003DMG400000355	Sotub12g009730.1.1	1	1
OK	many-to-1	g00294	Sotub12g009700.1.1|Sotub12g009710.1.1	PGSC0003DMG400000356	2	1
OK	1-to-1	g00295	Sotub12g009680.1.1	PGSC0003DMG400000357	1	1
OK	1-to-1	g00296	Sotub12g009660.1.1	PGSC0003DMG400000358	1	1
OK	many-to-1	g00297	Sotub12g009630.1.1|Sotub12g009640.1.1	PGSC0003DMG400000359	2	1
OK	1-to-1	g00298	Sotub12g009580.1.1	PGSC0003DMG400000360	1	1
OK	1-to-1	g00299	Sotub12g009500.1.1	PGSC0003DMG400000363	1	1
OK	1-to-1	g00300	PGSC0003DMG400000364	Sotub12g009490.1.1	1	1
OK	1-to-1	g00301	Sotub12g009470.1.1	PGSC0003DMG400000365	1	1
OK	1-to-1	g00302	Sotub12g009460.1.1	PGSC0003DMG400000366	1	1
OK	1-to-1	g00303	PGSC0003DMG400000367	Sotub12g009450.1.1	1	1
OK	1-to-1	g00304	Sotub12g009420.1.1	PGSC0003DMG400000368	1	1
OK	singleton	g00305	PGSC0003DMG400000370	-	1	0
OK	1-to-1	g00306	Sotub12g009380.1.1	PGSC0003DMG400000371	1	1
OK	1-to-1	g00307	Sotub12g009370.1.1	PGSC0003DMG400000372	1	1
OK	1-to-1	g00308	Sotub12g009320.1.1	PGSC0003DMG400000374	1	1
OK	1-to-1	g00309	Sotub12g009310.1.1	PGSC0003DMG400000375	1	1
OK	1-to-1	g00310	Sotub12g009260.1.1	PGSC0003DMG400000376	1	1
OK	1-to-1	g00311	Sotub12g009240.1.1	PGSC0003DMG400000377	1	1
OK	1-to-1	g00312	Sotub12g009210.1.1	PGSC0003DMG400000378	1	1
OK	1-to-1	g00313	Sotub12g009200.1.1	PGSC0003DMG400000379	1	1
OK	1-to-1	g00314	Sotub12g009160.1.1	PGSC0003DMG400000380	1	1
OK	1-to-1	g00315	Sotub12g009090.1.1	PGSC0003DMG400000381	1	1
OK	1-to-1	g00316	Sotub12g009070.1.1	PGSC0003DMG400000383	1	1
OK	1-to-1	g00317	Sotub12g009050.1.1	PGSC0003DMG400000384	1	1
OK	1-to-1	g00318	Sotub12g009040.1.1	PGSC0003DMG400000385	1	1
OK	1-to-1	g00319	Sotub12g009020.1.1	PGSC0003DMG400000386	1	1
OK	singleton	g00320	PGSC0003DMG400000387	-	1	0
OK	singleton	g00321	PGSC0003DMG400000388	-	1	0
OK	1-to-1	g00322	Sotub12g009600.1.1	PGSC0003DMG400000389	1	1
OK	singleton	g00323	PGSC0003DMG400000392	-	1	0
OK	1-to-1	g00324	Sotub11g023720.1.1	PGSC0003DMG400000393	1	1
